7.309999943,7.829999924,8.25,8.269999504,8.029999733,7.75,7.529999733,7.449999809,7.679999828,8.300000191
7.71999979,8.199999809,8.43999958,8.319999695,8,7.649999619,7.389999866,7.329999924,7.599999905,8.050000191
7.859999657,8.269999504,8.449999809,8.340000153,8,7.599999905,7.319999695,7.429999828,7.789999962,8.359999657
7.399999619,7.569999695,7.659999847,7.559999943,7.369999886,7.210000038,7.289999962,7.759999752,8.380000114,8.929999352
7.319999695,7.539999962,7.71999979,7.849999905,7.71999979,7.529999733,7.339999676,7.619999886,8.420000076,9.369999886
7.529999733,7.929999828,8.179999352,8.289999962,8.13999939,7.819999695,7.399999619,7.339999676,7.789999962,8.529999733
7.549999714,7.940000057,8.199999809,8.279999733,8.130000114,7.799999714,7.409999847,7.279999733,7.539999962,8.090000153
7.759999752,8.170000076,8.460000038,8.5,8.25,7.849999905,7.460000038,7.299999714,7.460000038,7.879999638
7.889999866,8.399999619,8.819999695,8.880000114,8.590000153,8.229999542,8.019999504,7.960000038,8.25,8.909999847
7.419999599,7.730000019,8.099999428,8.199999809,8.099999428,8.099999428,8.119999886,8.099999428,8.369999886,9.019999504
7.899999619,8.429999352,8.510000229,8.349999428,8.199999809,8.239999771,8.340000153,8.380000114,8.599999428,9.25
8.050000191,8.510000229,8.569999695,8.359999657,8.229999542,8.319999695,8.5,8.699999809,8.93999958,9.619999886
